STATION_NAME;TRANSECT;STATION_ID;SAMPLE_TIME;LATITUDE;LONGITUDE;SECCHI_DEPTH;ACOUSTIC_DEPTH;REPLICATE_DESC;TEMPERATURE;SALINITY;SAMPLE_DEPTH;CHL_A;TRICHODESMIUM
Hook Passage;Whitsundays;228;15/1/09;-20.21;148.905;;25;A1;29;38;25;0.61;Absent
Hook Passage;Whitsundays;228;15/1/09;-20.21;148.905;;25;A2;29;38;25;0.67;Absent
Hook Passage;Whitsundays;228;15/1/09;-20.21;148.905;;25;B1;29;38;25;0.64;Absent
Hook Passage;Whitsundays;228;15/1/09;-20.21;148.905;;25;B2;29;38;25;0.69;Absent
Hook Passage;Whitsundays;228;19/11/08;-20.21;148.905;;25;A1;;37;25;0.25;Absent
Hook Passage;Whitsundays;228;19/11/08;-20.21;148.905;;25;A2;;37;25;0.23;Absent
Hook Passage;Whitsundays;228;19/11/08;-20.21;148.905;;25;B1;;37;25;0.27;Absent
Hook Passage;Whitsundays;228;19/11/08;-20.21;148.905;;25;B2;;37;25;0.27;Absent
Hook Passage;Whitsundays;228;28/10/08;-20.21;148.905;;25;A1;25.5;36;25;0.23;Absent
Hook Passage;Whitsundays;228;28/10/08;-20.21;148.905;;25;A2;25.5;36;25;0.27;Absent
Hook Passage;Whitsundays;228;28/10/08;-20.21;148.905;;25;B1;25.5;36;25;0.28;Absent
Hook Passage;Whitsundays;228;28/10/08;-20.21;148.905;;25;B2;25.5;36;25;0.28;Absent
Hook Passage;Whitsundays;228;24/9/08;-20.21;148.905;;25;A1;24;37;25;0.17;Absent
Hook Passage;Whitsundays;228;24/9/08;-20.21;148.905;;25;A2;24;37;25;0.18;Absent
Hook Passage;Whitsundays;228;24/9/08;-20.21;148.905;;25;B1;24;37;25;0.22;Absent
Hook Passage;Whitsundays;228;24/9/08;-20.21;148.905;;25;B2;24;37;25;0.19;Absent
Hook Passage;Whitsundays;228;31/8/08;-20.21;148.905;;25;A1;22;37;25;0.28;Absent
Hook Passage;Whitsundays;228;31/8/08;-20.21;148.905;;25;A2;22;37;25;0.27;Absent
Hook Passage;Whitsundays;228;31/8/08;-20.21;148.905;;25;B1;22;37;25;0.32;Absent
Hook Passage;Whitsundays;228;31/8/08;-20.21;148.905;;25;B2;22;37;25;0.32;Absent
Hook Passage;Whitsundays;228;29/4/08;-20.21;148.905;;25;A1;26;36;25;1.27;Present
Hook Passage;Whitsundays;228;29/4/08;-20.21;148.905;;25;A2;26;36;25;0.78;Present
Hook Passage;Whitsundays;228;29/4/08;-20.21;148.905;;25;B1;26;36;25;1.52;Present
Hook Passage;Whitsundays;228;29/4/08;-20.21;148.905;;25;B2;26;36;25;1.86;Present
Hook Passage;Whitsundays;228;25/3/08;-20.21;148.905;;25;A1;27;35;25;0.61;Absent
Hook Passage;Whitsundays;228;25/3/08;-20.21;148.905;;25;A2;27;35;25;0.63;Absent
Hook Passage;Whitsundays;228;25/3/08;-20.21;148.905;;25;B1;27;35;25;0.65;Absent
Hook Passage;Whitsundays;228;25/3/08;-20.21;148.905;;25;B2;27;35;25;0.63;Absent
Hook Passage;Whitsundays;228;21/12/07;-20.21;148.905;;25;A1;29;35;25;0.32;Absent
Hook Passage;Whitsundays;228;21/12/07;-20.21;148.905;;25;A2;29;35;25;0.35;Absent
Hook Passage;Whitsundays;228;21/12/07;-20.21;148.905;;25;B1;29;35;25;0.44;Absent
Hook Passage;Whitsundays;228;21/12/07;-20.21;148.905;;25;B2;29;35;25;0.47;Absent
Hook Passage;Whitsundays;228;23/11/07;-20.21;148.905;;25;A1;27;31;25;0.5;Absent
Hook Passage;Whitsundays;228;23/11/07;-20.21;148.905;;25;A2;27;31;25;0.45;Absent
Hook Passage;Whitsundays;228;23/11/07;-20.21;148.905;;25;B1;27;31;25;0.42;Absent
Hook Passage;Whitsundays;228;23/11/07;-20.21;148.905;;25;B2;27;31;25;0.37;Absent
Hook Passage;Whitsundays;228;26/9/07;-20.21;148.905;;25;A1;24.5;35;25;0.2;Absent
Hook Passage;Whitsundays;228;26/9/07;-20.21;148.905;;25;A2;24.5;35;25;0.22;Absent
Hook Passage;Whitsundays;228;26/9/07;-20.21;148.905;;25;B1;24.5;35;25;0.2;Absent
Hook Passage;Whitsundays;228;26/9/07;-20.21;148.905;;25;B2;24.5;35;25;0.18;Absent
Hook Passage;Whitsundays;228;22/8/07;-20.21;148.905;;25;A1;22;36.5;25;0.16;Absent
Hook Passage;Whitsundays;228;22/8/07;-20.21;148.905;;25;A2;22;36.5;25;0.16;Absent
Hook Passage;Whitsundays;228;22/8/07;-20.21;148.905;;25;B1;22;36.5;25;0.15;Absent
Hook Passage;Whitsundays;228;22/8/07;-20.21;148.905;;25;B2;22;36.5;25;0.15;Absent
Hook Passage;Whitsundays;228;6/7/07;-20.21;148.905;;2.5;A1;22.5;37;2.5;0.23;Absent
Hook Passage;Whitsundays;228;6/7/07;-20.21;148.905;;2.5;A2;22.5;37;2.5;0.21;Absent
Hook Passage;Whitsundays;228;6/7/07;-20.21;148.905;;2.5;B1;22.5;37;2.5;0.2;Absent
Hook Passage;Whitsundays;228;6/7/07;-20.21;148.905;;2.5;B2;22.5;37;2.5;0.26;Absent
Hook Passage;Whitsundays;228;8/5/07;-20.21;148.905;;;A1;26;38;;0.35;Absent
Hook Passage;Whitsundays;228;8/5/07;-20.21;148.905;;;A2;26;38;;0.34;Absent
Hook Passage;Whitsundays;228;8/5/07;-20.21;148.905;;;B1;26;38;;0.35;Absent
Hook Passage;Whitsundays;228;8/5/07;-20.21;148.905;;;B2;26;38;;0.32;Absent
